Data,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,1/0,PnL_Linha,Placar_FT
2025-08-01,15:30,POLAND 1,Wisla Plock vs Piast Gliwice,Lay_CS_0x1_B365,8.03,1.0,83.14694521180189,2x0
2025-08-01,20:00,CHILE 1,A. Italiano vs Palestino,Lay_CS_0x1_B365,9.53,1.0,77.63955669542814,1x1
2025-08-03,08:00,ENGLAND 3,Stockport County vs Bolton,Lay_CS_0x1_B365,9.03,1.0,91.51412255569456,2x0
2025-08-03,12:30,ROMANIA 1,FC Hermannstadt vs U. Cluj,Lay_CS_0x1_B365,8.03,1.0,66.50071123755335,2x2
2025-08-04,14:00,SERBIA 1,Zeleznicar Pancevo vs Napredak,Lay_CS_0x1_B365,10.03,1.0,58.65760409824058,0x0
2025-08-08,08:35,CHINA 1,Dalian Yingbo vs Chengdu Rongcheng,Lay_CS_0x1_B365,8.03,1.0,127.36657913559576,0x2
2025-08-10,07:00,SOUTH KOREA 1,Pohang vs Gwangju FC,Lay_CS_0x1_B365,8.03,1.0,94.56348740491292,1x0
2025-08-11,20:00,CHILE 1,Limache vs A. Italiano,Lay_CS_0x1_B365,8.53,1.0,85.18459773073086,4x0
2025-08-15,07:00,SOUTH KOREA 1,Jeju SK vs Gangwon,Lay_CS_0x1_B365,10.03,1.0,125.60390758723662,0x0
2025-08-15,16:30,SPAIN 2,Burgos CF vs Cultural Leonesa,Lay_CS_1x0_B365,5.03,1.0,448.1963382680242,5x1
2025-08-16,12:00,SPAIN 2,Racing Santander vs Castellon,Lay_CS_1x0_B365,11.03,1.0,93.22033898305088,3x1
2025-08-17,07:00,SOUTH KOREA 1,Gimcheon Sangmu vs Seoul,Lay_CS_0x1_B365,8.03,1.0,145.39986016346413,6x2
2025-08-17,08:30,BELGIUM 1,Dender vs Anderlecht,Lay_CS_0x1_B365,8.53,1.0,153.79945367888337,0x2
2025-08-17,10:15,ROMANIA 1,Csikszereda M. Ciuc vs Univ. Craiova,Lay_CS_0x1_B365,8.03,1.0,205.4934660045608,1x2
2025-08-18,15:45,FRANCE 2,Le Mans vs Montpellier,Lay_CS_0x1_B365,8.53,1.0,157.06587512263152,1x2
2025-08-22,07:00,JAPAN 1,Kashiwa Reysol vs Urawa Reds,Lay_CS_0x1_B365,10.03,1.0,158.8796792620388,4x2
2025-08-22,15:00,BELGIUM 2,Gent U23 vs Beerschot VA,Lay_CS_0x1_B365,8.03,1.0,133.0014224751067,1x1
2025-08-23,12:00,SPAIN 2,Mirandes vs Huesca,Lay_CS_1x0_B365,7.53,1.0,143.1852986217458,0x1
2025-08-24,07:00,SOUTH KOREA 1,Anyang vs Daejeon,Lay_CS_0x1_B365,8.03,1.0,152.04527086932185,3x2
2025-08-24,09:45,POLAND 1,Piast Gliwice vs Cracovia,Lay_CS_0x1_B365,9.03,1.0,166.43041810755196,0x0
2025-08-24,12:00,SPAIN 2,Dep. La Coruna vs Burgos CF,Lay_CS_1x0_B365,5.53,1.0,329.3705735837093,0x0
2025-08-27,16:00,SPAIN 1,Celta Vigo vs Betis,Lay_CS_1x0_B365,10.03,1.0,179.61204737936413,1x1
2025-08-31,07:00,JAPAN 1,Cerezo Osaka vs Sanfrecce Hiroshima,Lay_CS_0x1_B365,8.03,1.0,197.9545477998674,1x1
2025-08-31,09:30,NORWAY 1,Kristiansund vs Brann,Lay_CS_0x1_B365,9.03,1.0,217.8749526115221,2x2
2025-08-31,14:30,SPAIN 2,Las Palmas vs Malaga,Lay_CS_1x0_B365,6.03,1.0,210.607620281158,0x1
2025-09-01,19:00,BRAZIL 2,Chapecoense-SC vs Vila Nova FC,Lay_CS_0x1_B365,10.03,1.0,178.59022682425473,2x2
2025-09-05,14:15,SPAIN 1,Betis B vs Gimnastic,Lay_CS_1x0_B365,8.03,1.0,253.1510114230012,2x2
2025-09-07,09:00,SPAIN 2,Ceuta vs Huesca,Lay_CS_1x0_B365,6.03,1.0,421.215240562316,2x1
2025-09-07,13:00,IRELAND 1,Shelbourne vs Galway,Lay_CS_0x1_B365,11.03,1.0,313.2085431197932,1x0
2025-09-12,07:00,JAPAN 1,Vissel Kobe vs Kashiwa Reysol,Lay_CS_0x1_B365,9.03,1.0,320.5672763871285,0x0
2025-09-12,13:00,AUSTRIA 2,Kapfenberg vs Hertha Wels,Lay_CS_0x1_B365,10.03,1.0,318.25976000117464,3x2
2025-09-14,07:00,SOUTH KOREA 1,Anyang vs Jeju SK,Lay_CS_0x1_B365,8.53,1.0,309.7679827427504,2x1
2025-09-14,13:30,SPAIN 2,Gijon vs Burgos CF,Lay_CS_1x0_B365,5.53,1.0,412.80353200883,2x3
2025-09-15,07:00,JAPAN 1,FC Tokyo vs Verdy,Lay_CS_0x1_B365,8.53,1.0,299.5977825269929,1x0
2025-09-15,12:00,ROMANIA 1,FC Hermannstadt vs Unirea Slobozia,Lay_CS_0x1_B365,10.03,1.0,280.85218483842687,0x2
2025-09-16,13:00,ESTONIA 1,Tammeka vs Parnu JK Vaprus,Lay_CS_0x1_B365,9.53,1.0,421.17927128131583,1x4
2025-09-19,15:00,FRANCE 2,Nancy vs Red Star,Lay_CS_0x1_B365,8.03,0.0,-2806.7168950788027,0x1
2025-09-20,07:00,SPAIN 1,Betis B vs Atl. Madrid B,Lay_CS_1x0_B365,9.03,1.0,280.94287701472683,0x2
2025-09-21,08:30,BELGIUM 1,Genk vs Royale Union SG,Lay_CS_0x1_B365,9.53,1.0,334.5413024445712,1x2
2025-09-21,13:30,SPAIN 2,Eibar vs Real Sociedad B,Lay_CS_1x0_B365,5.53,1.0,412.80353200883,2x1
2025-09-23,07:00,JAPAN 1,Shonan Bellmare vs Kawasaki Frontale,Lay_CS_0x1_B365,8.53,1.0,365.6630237517459,1x2
2025-09-23,15:30,FRANCE 2,Red Star vs Troyes,Lay_CS_0x1_B365,8.03,1.0,494.97660196833255,1x3
2025-09-26,09:00,CHINA 1,Zhejiang Professional vs Chengdu Rongcheng,Lay_CS_0x1_B365,9.03,1.0,90.5046645238126,3x3
2025-09-28,07:15,POLAND 1,Widzew Lodz vs Rakow,Lay_CS_0x1_B365,9.03,0.0,-850.7409361559733,0x1
2025-09-29,12:00,GREECE 1,Atromitos vs AEL Larissa,Lay_CS_0x1_B365,10.03,1.0,72.65449326962019,1x1
2025-10-02,16:00,ENGLAND 3,Rotherham vs Bradford City,Lay_CS_0x1_B365,8.03,1.0,73.79006235210345,2x2
2025-10-03,16:00,ENGLAND 2,Wrexham vs Birmingham,Lay_CS_0x1_B365,8.03,1.0,119.8185311505802,1x1
2025-10-04,10:00,ITALY 1,Parma vs Lecce,Lay_CS_1x0_B365,6.03,1.0,92.94234592445328,0x1
2025-10-05,13:00,ITALY 1,Napoli vs Genoa,Lay_CS_1x0_B365,5.03,1.0,221.63925266660507,2x1
2025-10-06,14:30,ROMANIA 1,FC Botosani vs UTA Arad,Lay_CS_0x1_B365,11.03,1.0,46.61016949152543,2x1
2025-10-07,21:30,BRAZIL 2,Goias vs CRB,Lay_CS_0x1_B365,10.03,1.0,103.5437430786268,1x2
2025-10-09,20:30,CHILE 1,U. Catolica vs Nublense,Lay_CS_0x1_B365,11.03,1.0,93.22033898305088,1x0
2025-10-10,15:30,SPAIN 2,Granada CF vs Las Palmas,Lay_CS_1x0_B365,7.53,1.0,156.5330806966543,0x0
2025-10-16,14:30,ROMANIA 1,Csikszereda M. Ciuc vs CFR Cluj,Lay_CS_0x1_B365,8.03,1.0,75.34540042775426,2x2
2025-10-16,16:00,ENGLAND 3,Huddersfield vs Bolton,Lay_CS_0x1_B365,10.03,1.0,66.45914888228823,1x2
2025-10-17,07:00,JAPAN 1,Vissel Kobe vs Kashima Antlers,Lay_CS_0x1_B365,10.03,1.0,73.34057791938008,0x0
2025-10-17,13:00,CROATIA 1,Vukovar 1991 vs Lok. Zagreb,Lay_CS_0x1_B365,8.03,1.0,103.96000838785528,1x1
2025-10-17,16:00,ENGLAND 2,Middlesbrough vs Ipswich,Lay_CS_0x1_B365,8.03,1.0,66.50071123755335,2x1
2025-10-19,08:30,ESTONIA 1,Harju JK Laagri vs Kalju,Lay_CS_0x1_B365,8.03,1.0,102.98623104495704,1x3
2025-10-19,11:30,ROMANIA 1,UTA Arad vs Otelul,Lay_CS_0x1_B365,8.03,1.0,132.20262390254135,0x4
2025-10-20,10:00,BELGIUM 1,St. Liege vs Antwerp,Lay_CS_0x1_B365,11.03,1.0,54.49091243448679,1x0
2025-10-21,15:45,ENGLAND 2,Hull vs Leicester,Lay_CS_0x1_B365,8.03,1.0,94.56348740491296,2x1
2025-10-22,14:00,SPAIN 1,Hercules vs Atl. Madrid B,Lay_CS_1x0_B365,8.03,1.0,107.1405657439732,3x0
2025-10-23,16:00,ENGLAND 3,Exeter vs Plymouth,Lay_CS_0x1_B365,8.03,1.0,121.39041339270932,2x0
2025-10-24,08:35,CHINA 1,Wuhan Three Towns vs Shenzhen Xinpengcheng,Lay_CS_0x1_B365,8.53,1.0,62.08499335989377,1x2
2025-10-24,12:30,SERBIA 1,Novi Pazar vs Javor,Lay_CS_0x1_B365,11.03,1.0,52.39775361829519,1x2
2025-10-24,15:30,SPAIN 2,Huesca vs Las Palmas,Lay_CS_1x0_B365,6.03,1.0,129.4147490449053,1x1
2025-10-24,16:00,ENGLAND 2,Preston vs Sheffield Utd,Lay_CS_0x1_B365,8.03,1.0,133.0014224751067,3x2
2025-10-25,10:00,ITALY 1,Udinese vs Lecce,Lay_CS_1x0_B365,6.03,1.0,210.607620281158,3x2
2025-10-26,07:30,CHINA 1,Qingdao West Coast vs Chengdu Rongcheng,Lay_CS_0x1_B365,9.53,1.0,147.2771928460853,2x2
2025-10-26,11:00,ITALY 1,Verona vs Cagliari,Lay_CS_1x0_B365,6.03,1.0,350.22899951417446,2x2
2025-10-27,12:30,ROMANIA 1,FC Botosani vs FC Hermannstadt,Lay_CS_0x1_B365,10.03,1.0,103.5437430786268,2x0
2025-10-29,14:30,ITALY 1,AS Roma vs Parma,Lay_CS_1x0_B365,5.53,1.0,206.401766004415,2x1
2025-10-31,17:00,ENGLAND 2,Wrexham vs Coventry,Lay_CS_0x1_B365,8.53,1.0,238.1813032732971,3x2
2025-10-31,19:00,BRAZIL 2,Coritiba vs CRB,Lay_CS_0x1_B365,11.03,1.0,93.22033898305088,0x0
2025-11-03,12:00,GREECE 1,Asteras Tripolis vs OFI Crete,Lay_CS_0x1_B365,11.03,1.0,112.46118157668278,3x0
2025-11-03,14:00,CROATIA 1,Gorica vs Lok. Zagreb,Lay_CS_0x1_B365,8.03,1.0,175.4106480779981,4x1
2025-11-03,16:45,FRANCE 2,Pau FC vs Troyes,Lay_CS_0x1_B365,8.53,1.0,205.88198374962792,1x1
2025-11-04,12:00,EGYPT 1,Wadi Degla vs Haras El Hodood,Lay_CS_0x1_B365,10.03,1.0,193.0001099048284,1x1
2025-11-04,16:45,ENGLAND 2,Oxford Utd vs Stoke,Lay_CS_0x1_B365,8.53,1.0,140.6847715822344,0x3
2025-11-05,16:00,SPAIN 2,Real Sociedad B vs Huesca,Lay_CS_1x0_B365,7.53,1.0,182.37313804649523,2x0
2025-11-06,20:00,BRAZIL 1,Ceara vs Fortaleza,Lay_CS_0x1_B365,8.53,1.0,180.79886793055607,1x1
2025-11-07,14:00,POLAND 1,Radomiak Radom vs Cracovia,Lay_CS_0x1_B365,8.03,1.0,237.99895339242025,3x0
2025-11-07,17:00,SPAIN 1,Elche vs Real Sociedad,Lay_CS_1x0_B365,9.03,1.0,131.9248231649097,1x1
2025-11-09,09:30,BELGIUM 1,Anderlecht vs Club Brugge KV,Lay_CS_0x1_B365,10.03,1.0,234.63041639296236,1x0
2025-11-16,10:00,SPAIN 2,Ceuta vs Leganes,Lay_CS_1x0_B365,6.53,1.0,383.1306799328118,1x2
2025-11-18,18:00,CHILE 1,D. Concepcion vs Antofagasta,Lay_CS_0x1_B365,9.03,1.0,232.8767123287672,2x1
2025-11-20,17:00,PARAGUAY 1,Sportivo Trinidense vs Atl. Tembetary,Lay_CS_0x1_B365,10.03,1.0,231.2004126276188,1x1
2025-11-20,19:30,PARAGUAY 1,Nacional Asuncion vs Ameliano,Lay_CS_0x1_B365,11.03,1.0,229.70210486881567,2x0
2025-11-20,21:30,BRAZIL 1,Ceara vs Internacional,Lay_CS_0x1_B365,9.03,1.0,313.65922539060574,1x2
2025-11-21,12:30,ROMANIA 1,Csikszereda M. Ciuc vs Unirea Slobozia,Lay_CS_0x1_B365,11.03,1.0,280.3544322658804,2x1
2025-11-21,15:00,SPAIN 1,Villarreal B vs Gimnastic,Lay_CS_1x0_B365,10.03,1.0,375.67981805095286,0x0
2025-11-21,16:00,FRANCE 2,Pau FC vs Le Mans,Lay_CS_0x1_B365,8.03,1.0,296.9757789512656,1x2
2025-11-23,09:00,ENGLAND 2,Sheffield Wed vs Sheffield Utd,Lay_CS_0x1_B365,8.03,1.0,439.1669322328147,0x3
2025-11-24,15:00,GREECE 1,AEL Larissa vs OFI Crete,Lay_CS_0x1_B365,10.03,1.0,207.0874861572536,1x2
2025-11-24,15:30,ROMANIA 1,FC Botosani vs Dinamo Bucuresti,Lay_CS_0x1_B365,8.03,1.0,293.54577518592214,1x1
2025-11-24,19:00,BRAZIL 1,Mirassol vs Ceara,Lay_CS_0x1_B365,11.03,1.0,233.1098802947029,3x0
2025-11-25,16:45,ENGLAND 2,Swansea vs Derby,Lay_CS_0x1_B365,8.03,1.0,363.591726519405,1x2
2025-11-25,21:30,BRAZIL 1,Gremio vs Palmeiras,Lay_CS_0x1_B365,9.03,1.0,360.6485805388619,3x2
2025-11-26,15:00,SPAIN 2,Ceuta vs Almeria,Lay_CS_1x0_B365,10.03,1.0,358.0525497819377,3x2
2025-11-28,13:30,SLOVENIA 1,Aluminij vs Primorje,Lay_CS_0x1_B365,8.03,1.0,301.381601711017,0x0
2025-11-28,19:00,BRAZIL 1,Juventude vs Bahia,Lay_CS_0x1_B365,8.03,1.0,435.2517772099762,1x1
2025-11-29,11:00,ITALY 1,Genoa vs Verona,Lay_CS_1x0_B365,5.03,1.0,860.2432767934143,2x1
2025-12-01,14:00,CROATIA 1,Gorica vs Din. Zagreb,Lay_CS_0x1_B365,8.53,1.0,74.89944563174822,0x2
2025-12-02,14:45,ISRAEL 1,Hapoel Jerusalem vs Maccabi Bnei Raina,Lay_CS_0x1_B365,10.03,1.0,86.50518051929882,1x2
2025-12-03,15:00,SPAIN 1,Ath Bilbao vs Real Madrid,Lay_CS_1x0_B365,11.03,1.0,52.39775361829519,0x3
2025-12-05,16:00,FRANCE 2,Bastia vs Red Star,Lay_CS_0x1_B365,8.03,1.0,66.50071123755335,0x0
2025-12-07,11:00,CROATIA 1,Varazdin vs Lok. Zagreb,Lay_CS_0x1_B365,8.53,1.0,106.50642153783627,4x2
2025-12-07,16:45,ITALY 1,Napoli vs Juventus,Lay_CS_1x0_B365,6.03,1.0,92.94234592445328,2x1
2025-12-08,07:00,SOUTH KOREA 1,Suwon FC vs Bucheon FC 1995,Lay_CS_0x1_B365,9.03,1.0,69.04123205969664,2x3
2025-12-09,16:45,ENGLAND 2,Charlton vs Middlesbrough,Lay_CS_0x1_B365,8.53,1.0,68.51350596138887,1x2
2025-12-14,11:00,CROATIA 1,Slaven Belupo vs Din. Zagreb,Lay_CS_0x1_B365,8.03,1.0,101.48070091935251,2x5
2025-12-14,14:30,SPAIN 2,Almeria vs Burgos CF,Lay_CS_1x0_B365,6.03,1.0,180.6480340161863,1x2
2025-12-15,12:30,ROMANIA 1,Farul Constanta vs UTA Arad,Lay_CS_0x1_B365,10.03,1.0,51.7718715393134,1x1
2025-12-16,16:00,BELGIUM 2,OC Charleroi vs Lommel SK,Lay_CS_0x1_B365,9.53,1.0,75.9082311888697,1x2
2025-12-19,12:00,CROATIA 1,Varazdin vs Istra 1961,Lay_CS_0x1_B365,8.53,1.0,95.4145296417864,1x3
2025-12-21,12:00,BELGIUM 2,Sporting Lokeren vs Patro Eisden,Lay_CS_0x1_B365,8.53,1.0,124.16998671978754,1x1
2025-12-21,14:30,SPAIN 2,Burgos CF vs Zaragoza,Lay_CS_1x0_B365,5.03,1.0,260.81859493374725,1x1
2025-12-26,12:00,ENGLAND 3,Bradford City vs Wigan,Lay_CS_0x1_B365,8.03,1.0,246.58764992463824,2x1
2025-12-26,14:30,ENGLAND 2,Wrexham vs Sheffield Utd,Lay_CS_0x1_B365,8.53,1.0,124.16998671978754,5x3
2025-12-28,08:30,ITALY 1,AC Milan vs Verona,Lay_CS_1x0_B365,6.03,1.0,185.88469184890656,3x0
2026-01-02,16:30,SPAIN 2,Eibar vs Mirandes,Lay_CS_1x0_B365,6.03,1.0,185.88469184890656,2x1
2026-01-03,08:30,ITALY 1,Como vs Udinese,Lay_CS_1x0_B365,7.63,0.0,-1430.6708177087596,1x0
2026-01-04,08:30,ITALY 1,Lazio vs Napoli,Lay_CS_1x0_B365,9.83,1.0,105.8890147225368,0x2
2026-01-05,16:45,FRANCE 2,Montpellier vs Dunkerque,Lay_CS_0x1_B365,10.53,1.0,168.06398067941683,1x3
2026-01-07,14:30,ITALY 1,Napoli vs Verona,Lay_CS_1x0_B365,5.53,1.0,388.2537655209927,2x2
2026-01-08,16:45,ITALY 1,AC Milan vs Genoa,Lay_CS_1x0_B365,5.73,1.0,222.55000156499423,1x1
2026-01-09,17:00,SPAIN 1,Getafe vs Real Sociedad,Lay_CS_1x0_B365,8.23,1.0,174.37700675874032,1x2
2026-01-11,14:00,ITALY 1,Verona vs Lazio,Lay_CS_1x0_B365,9.03,1.0,129.99624695064742,0x1
2026-01-14,14:30,ITALY 1,Napoli vs Parma,Lay_CS_1x0_B365,7.03,1.0,238.75006971308952,0x0
2026-01-17,10:00,SPAIN 2,Ceuta vs Valladolid,Lay_CS_1x0_B365,7.83,1.0,176.97697445520518,0x3
2026-01-23,16:00,FRANCE 2,Bastia vs Montpellier,Lay_CS_0x1_B365,8.03,1.0,184.1645304970069,0x2
2026-01-24,10:00,SPAIN 2,Valladolid vs Albacete,Lay_CS_1x0_B365,7.03,1.0,243.26210371619567,0x1
2026-01-26,16:45,FRANCE 2,Le Mans vs Dunkerque,Lay_CS_0x1_B365,9.63,1.0,122.75276129944666,1x0
2026-01-29,15:00,EGYPT 1,Modern Sport vs El Ismaily,Lay_CS_0x1_B365,11.03,1.0,130.0455568706754,1x0
2026-01-29,21:30,BRAZIL 1,Botafogo RJ vs Cruzeiro,Lay_CS_0x1_B365,10.03,1.0,157.91246191439157,4x0
2026-01-31,10:00,SPAIN 1,Oviedo vs Girona,Lay_CS_1x0_B365,9.43,0.0,-1000.0,1x0
2026-02-06,20:00,CHILE 1,A. Italiano vs U. De Concepcion,Lay_CS_0x1_B365,10.53,1.0,124.86180965621814,3x0
2026-02-08,08:30,ITALY 1,Bologna vs Parma,Lay_CS_1x0_B365,7.63,1.0,197.08579759461884,0x1
2026-02-08,12:00,CHILE 1,Huachipato vs U. De Chile,Lay_CS_0x1_B365,8.03,1.0,296.22309525743697,2x1
2026-02-09,15:00,ROMANIA 1,Din. Bucuresti vs Univ. Craiova,Lay_CS_0x1_B365,10.03,1.0,288.9538527436463,1x1
2026-02-09,16:45,FRANCE 2,Amiens vs Clermont,Lay_CS_0x1_B365,9.63,1.0,333.6529713314524,4x3
2026-02-12,21:30,BRAZIL 1,Internacional vs Palmeiras,Lay_CS_0x1_B365,10.03,1.0,207.0874861572536,1x3
2026-02-13,16:00,FRANCE 2,Amiens vs Dunkerque,Lay_CS_0x1_B365,8.23,1.0,314.979590968262,1x4
2026-02-14,10:00,SPAIN 2,Cordoba vs Leganes,Lay_CS_1x0_B365,8.43,1.0,440.0933571746939,2x1
2026-02-15,09:00,ROMANIA 1,UTA Arad vs FC Botosani,Lay_CS_0x1_B365,8.43,1.0,251.68236877523557,2x1
2026-02-18,16:45,ITALY 1,AC Milan vs Como,Lay_CS_1x0_B365,8.43,1.0,501.5243235155171,1x1
2026-02-19,19:30,BRAZIL 1,Athletico-PR vs Corinthians,Lay_CS_0x1_B365,9.03,0.0,-2000.0,0x1
2026-02-20,14:00,AUSTRIA 2,Floridsdorfer AC vs Bregenz,Lay_CS_0x1_B365,11.03,,0.0,
2026-02-20,16:00,FRANCE 2,Annecy vs Red Star,Lay_CS_0x1_B365,9.63,1.0,240.16238592100365,2x1
2026-02-21,10:00,SPAIN 2,Leganes vs Cultural Leonesa,Lay_CS_1x0_B365,6.43,1.0,423.0484753838674,1x1
2026-02-22,08:15,POLAND 1,Arka Gdynia vs GKS Katowice,Lay_CS_0x1_B365,9.03,1.0,335.33045402469696,2x1
2026-02-23,16:45,FRANCE 2,Le Mans vs Guingamp,Lay_CS_0x1_B365,9.43,1.0,247.65595801036744,1x1
2026-02-27,12:00,ROMANIA 1,FC Hermannstadt vs FC Botosani,Lay_CS_0x1_B365,8.23,1.0,396.9421267268066,3x1
2026-02-27,16:00,FRANCE 2,Laval vs Nancy,Lay_CS_0x1_B365,8.03,1.0,266.0028449502134,1x1
2026-02-28,11:00,ITALY 1,Como vs Lecce,Lay_CS_1x0_B365,6.23,1.0,405.10758317943584,3x1
2026-03-02,15:00,POLAND 1,Zaglebie vs Wisla Plock,Lay_CS_0x1_B365,10.53,1.0,244.13256488261007,2x0
2026-03-05,16:30,EGYPT 1,Ceramica Cleopatra vs National Bank Egypt,Lay_CS_0x1_B365,10.03,1.0,335.5553257332624,2x2
2026-03-06,20:30,CHILE 1,D. Concepcion vs Nublense,Lay_CS_0x1_B365,8.23,1.0,258.6445366528354,0x2
2026-03-08,08:15,POLAND 1,Motor Lublin vs Gornik Zabrze,Lay_CS_0x1_B365,10.53,1.0,258.40025223185427,0x0
2026-03-08,09:30,ROMANIA 1,Otelul vs FC Hermannstadt,Lay_CS_0x1_B365,10.03,1.0,299.4638582066838,0x2
2026-03-08,11:00,ITALY 1,Bologna vs Verona,Lay_CS_1x0_B365,6.83,1.0,511.8623236757468,1x2
2026-03-09,15:00,ROMANIA 1,CFR Cluj vs Dinamo Bucuresti,Lay_CS_0x1_B365,10.03,1.0,300.2151870671554,2x0
2026-03-09,16:45,FRANCE 2,Dunkerque vs Reims,Lay_CS_0x1_B365,9.23,1.0,363.50477996648885,1x1
2026-03-12,19:00,BRAZIL 1,Remo vs Fluminense,Lay_CS_0x1_B365,8.63,1.0,436.6345096189869,0x2
2026-03-13,08:35,CHINA 1,Wuhan Three Towns vs Dalian Yingbo,Lay_CS_0x1_B365,9.23,1.0,454.4076032669044,4x1
2026-03-13,12:30,ROMANIA 1,UTA Arad vs FC Hermannstadt,Lay_CS_0x1_B365,10.53,1.0,196.22245540398745,3x2
2026-03-13,16:00,FRANCE 2,Nancy vs Le Mans,Lay_CS_0x1_B365,8.43,1.0,312.1167072618628,2x4
2026-03-14,10:00,SPAIN 1,Girona vs Ath Bilbao,Lay_CS_1x0_B365,10.03,1.0,289.1313683549814,3x0
2026-03-15,08:30,ITALY 1,Verona vs Genoa,Lay_CS_1x0_B365,8.83,1.0,367.96859331512,0x2
2026-03-15,10:30,NORWAY 1,Kristiansund vs Brann,Lay_CS_0x1_B365,9.43,1.0,221.82680901542116,3x2
2026-03-16,18:00,CHILE 1,Union La Calera vs O'Higgins,Lay_CS_0x1_B365,8.83,1.0,424.1360780566257,3x3
2026-03-19,21:30,BRAZIL 1,Chapecoense-SC vs Corinthians,Lay_CS_0x1_B365,8.43,1.0,319.9984068155075,0x0
2026-03-20,13:30,SLOVENIA 1,Aluminij vs Maribor,Lay_CS_0x1_B365,9.23,1.0,227.21749696233292,1x1
2026-03-20,16:00,FRANCE 2,Boulogne vs Nancy,Lay_CS_0x1_B365,8.03,1.0,331.5958403488422,0x0
2026-03-23,18:30,PARAGUAY 1,Sportivo Trinidense vs Recoleta,Lay_CS_0x1_B365,10.53,1.0,277.1417490428676,3x2
2026-03-27,15:00,SPAIN 2,Cordoba vs Mirandes,Lay_CS_1x0_B365,9.83,1.0,411.64046539529454,2x2
2026-03-27,18:30,PARAGUAY 1,Nacional Asuncion vs Sp. Luqueno,Lay_CS_0x1_B365,10.03,1.0,207.0874861572536,3x2
2026-03-28,10:00,SPAIN 2,Ceuta vs Cadiz CF,Lay_CS_1x0_B365,8.63,1.0,270.4622279891261,2x1
2026-03-29,16:00,SPAIN 2,Almeria vs Real Sociedad B,Lay_CS_1x0_B365,10.03,1.0,345.7029636349589,5x1
2026-03-29,19:30,BRAZIL 1,Athletico-PR vs Botafogo RJ,Lay_CS_0x1_B365,10.53,1.0,361.4826896770583,4x1
2026-03-31,16:30,SPAIN 2,Valladolid vs Cadiz CF,Lay_CS_1x0_B365,7.23,1.0,331.2402567507275,3x0
2026-03-31,18:30,BRAZIL 2,Juventude vs Novorizontino,Lay_CS_0x1_B365,10.03,1.0,262.8279556610147,0x0
