Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase,Fold,Segmento,Estrategia
2026-03-01,12:15,SPAIN 1,Valencia vs Osasuna,Lay_CS_1x0_B365,api_diaria_cruzada_betfair,7.43,500.0,0.0,1x0,alias_exact,False,True,2026-03,7.43,0.0,0.0,37272.06172726503,2,7.43,0.0,7.43,,2026-03-01,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-01,12:30,SWITZERLAND 1,Grasshoppers vs Lugano,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.63,437.5,1.0,1x0,alias_exact,False,True,2026-03,8.63,1.0,0.0,37517.14691730434,2,8.63,1.0,8.63,,2026-03-01,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-02,13:00,SERBIA 1,IMT Novi Beograd vs Radnik,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.63,250.0,1.0,0x0,alias_exact,False,True,2026-03,9.63,1.0,0.0,37760.386158635374,2,9.63,1.0,9.63,,2026-03-02,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-02,15:00,POLAND 1,Zaglebie vs Wisla Plock,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.53,312.5,1.0,2x0,alias_exact,False,True,2026-03,10.53,1.0,0.0,38004.518723517984,2,10.53,1.0,10.53,,2026-03-02,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-02,16:30,EGYPT 1,Pharco vs Kahrabaa Ismailia,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.23,375.0,1.0,0x2,alias_exact,False,True,2026-03,8.23,1.0,0.0,38357.8862603778,2,8.23,1.0,8.23,,2026-03-02,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-02,18:30,PARAGUAY 1,Sp. Luqueno vs Rubio Nu,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.43,437.5,0.0,0x1,alias_exact,False,True,2026-03,9.43,0.0,0.0,35272.06172726503,2,9.43,0.0,9.43,,2026-03-02,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-03,08:30,BULGARIA 1,Spartak Varna vs Montana,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.63,250.0,1.0,1x0,alias_exact,False,True,2026-03,9.63,1.0,0.0,35488.74770640755,2,9.63,1.0,9.63,,2026-03-03,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-03,11:00,BULGARIA 1,Beroe vs Slavia Sofia,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.43,312.5,1.0,0x3,alias_exact,False,True,2026-03,8.43,1.0,0.0,35767.698095438274,2,8.43,1.0,8.43,,2026-03-03,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-03,16:45,SCOTLAND 2,Dunfermline vs Ross County,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.23,375.0,1.0,3x0,alias_exact,False,True,2026-03,9.23,1.0,0.0,36051.22421989052,2,9.23,1.0,9.23,,2026-03-03,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-04,15:00,SPAIN 1,Rayo Vallecano vs Oviedo,Lay_CS_1x0_B365,api_diaria_cruzada_betfair,6.63,250.0,1.0,3x0,alias_exact,False,True,2026-03,6.63,1.0,0.0,36512.772520175575,2,6.63,1.0,6.63,,2026-03-04,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-05,16:30,EGYPT 1,Ceramica Cleopatra vs National Bank Egypt,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.03,250.0,1.0,2x2,alias_exact,False,True,2026-03,10.03,1.0,0.0,36848.32784590884,2,10.03,1.0,10.03,,2026-03-05,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-06,15:30,FRANCE 3,Stade Briochin vs Orleans,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.43,312.5,1.0,1x3,alias_exact,False,True,2026-03,8.43,1.0,0.0,37298.36940996428,2,8.43,1.0,8.43,,2026-03-06,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-06,20:30,CHILE 1,D. Concepcion vs Nublense,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.23,375.0,1.0,0x2,alias_exact,False,True,2026-03,8.23,1.0,0.0,37557.01394661712,2,8.23,1.0,8.23,,2026-03-06,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-07,10:00,SPAIN 1,Osasuna vs Mallorca,Lay_CS_1x0_B365,api_diaria_cruzada_betfair,6.63,250.0,1.0,2x2,alias_exact,False,True,2026-03,6.63,1.0,0.0,37932.11743538628,2,6.63,1.0,6.63,,2026-03-07,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Baseline_Sem_Filtro
2026-03-08,08:15,POLAND 1,Motor Lublin vs Gornik Zabrze,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.53,312.5,1.0,0x0,alias_exact,False,True,2026-03,10.53,1.0,0.0,38190.517687618136,2,10.53,1.0,10.53,,2026-03-08,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-08,12:15,SPAIN 1,Getafe vs Betis,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.03,375.0,1.0,2x0,alias_exact,False,True,2026-03,8.03,1.0,0.0,35564.372254914495,2,8.03,1.0,8.03,,2026-03-08,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-08,09:30,ROMANIA 1,Otelul vs FC Hermannstadt,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.03,250.0,1.0,0x2,alias_exact,False,True,2026-03,10.03,1.0,0.0,38489.98154582482,2,10.03,1.0,10.03,,2026-03-08,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-08,12:00,SERBIA 1,Sp. Subotica vs IMT Novi Beograd,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.83,437.5,0.0,0x1,alias_exact,False,True,2026-03,8.83,0.0,0.0,35298.36940996428,2,8.83,0.0,8.83,,2026-03-08,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-08,11:00,ITALY 1,Bologna vs Verona,Lay_CS_1x0_B365,api_diaria_cruzada_betfair,6.83,500.0,1.0,1x2,alias_exact,False,True,2026-03,6.83,1.0,0.0,39001.84386950057,2,6.83,1.0,6.83,,2026-03-08,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,10:30,BULGARIA 1,Montana vs Ludogorets,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.03,250.0,1.0,0x3,alias_exact,False,True,2026-03,8.03,1.0,0.0,35865.75385662551,2,8.03,1.0,8.03,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,13:00,GREECE 1,Panetolikos vs Kifisia,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.23,312.5,1.0,2x1,alias_exact,False,True,2026-03,8.23,1.0,0.0,36197.7738369337,2,8.23,1.0,8.23,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,15:00,ROMANIA 1,CFR Cluj vs Dinamo Bucuresti,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.03,375.0,1.0,2x0,alias_exact,False,True,2026-03,10.03,1.0,0.0,36497.98902400086,2,10.03,1.0,10.03,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-09,16:45,FRANCE 2,Dunkerque vs Reims,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.23,437.5,1.0,1x1,alias_exact,False,True,2026-03,9.23,1.0,0.0,36861.49380396735,2,9.23,1.0,9.23,,2026-03-09,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-12,19:00,BRAZIL 1,Remo vs Fluminense,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.63,312.5,1.0,0x2,alias_exact,False,True,2026-03,8.63,1.0,0.0,37298.128313586334,2,8.63,1.0,8.63,,2026-03-12,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,12:30,ROMANIA 1,UTA Arad vs FC Hermannstadt,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,10.53,312.5,1.0,3x2,alias_exact,False,True,2026-03,10.53,1.0,0.0,37948.75837225722,2,10.53,1.0,10.53,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,08:35,CHINA 1,Wuhan Three Towns vs Dalian Yingbo,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.23,250.0,1.0,4x1,alias_exact,False,True,2026-03,9.23,1.0,0.0,37752.53591685324,2,9.23,1.0,9.23,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,16:00,FRANCE 2,Nancy vs Le Mans,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.43,437.5,1.0,2x4,alias_exact,False,True,2026-03,8.43,1.0,0.0,38544.89554920134,2,8.43,1.0,8.43,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-13,14:00,AUSTRIA 2,Bregenz vs Admira,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.23,375.0,1.0,1x4,alias_exact,False,True,2026-03,8.23,1.0,0.0,38232.77884193948,2,8.23,1.0,8.23,,2026-03-13,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-14,10:00,SPAIN 1,Girona vs Ath Bilbao,Lay_CS_1x0_B365,api_diaria_cruzada_betfair,10.03,250.0,1.0,3x0,alias_exact,False,True,2026-03,10.03,1.0,0.0,38834.02691755632,2,10.03,1.0,10.03,,2026-03-14,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-15,08:30,ITALY 1,Verona vs Genoa,Lay_CS_1x0_B365,api_diaria_cruzada_betfair,8.83,312.5,1.0,0x2,alias_exact,False,True,2026-03,8.83,1.0,0.0,39201.99551087144,2,8.83,1.0,8.83,,2026-03-15,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-15,09:00,SCOTLAND 1,St. Mirren vs Rangers,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.63,250.0,0.0,0x1,alias_exact,False,True,2026-03,8.63,0.0,0.0,35752.53591685323,2,8.63,0.0,8.63,,2026-03-15,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-15,10:30,NORWAY 1,Kristiansund vs Brann,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.43,437.5,1.0,3x2,alias_exact,False,True,2026-03,9.43,1.0,0.0,35974.362725868654,2,9.43,1.0,9.43,,2026-03-15,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-15,11:00,ITALY 1,Pisa vs Cagliari,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.43,375.0,1.0,3x1,alias_exact,False,True,2026-03,8.43,1.0,0.0,36253.96004301932,2,8.43,1.0,8.43,,2026-03-15,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-15,13:00,SERBIA 1,IMT Novi Beograd vs Crvena zvezda,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.63,500.0,1.0,1x2,alias_exact,False,True,2026-03,8.63,1.0,0.0,36560.49104668449,2,8.63,1.0,8.63,,2026-03-15,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-16,13:00,SERBIA 1,Napredak vs OFK Beograd Mozzart Bet,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.03,312.5,1.0,2x2,alias_exact,False,True,2026-03,8.03,1.0,0.0,36933.95307319832,2,8.03,1.0,8.03,,2026-03-16,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-16,16:30,SPAIN 2,Albacete vs Las Palmas,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,9.03,375.0,1.0,2x1,alias_exact,False,True,2026-03,9.03,1.0,0.0,37304.39205715631,2,9.03,1.0,9.03,,2026-03-16,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-16,18:00,CHILE 1,Union La Calera vs O'Higgins,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.83,437.5,1.0,3x3,alias_exact,False,True,2026-03,8.83,1.0,0.0,37728.52813521293,2,8.83,1.0,8.83,,2026-03-16,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.6,Fase_2_60pct,1,treino,Baseline_Sem_Filtro
2026-03-01,12:30,SWITZERLAND 1,Grasshoppers vs Lugano,Lay_CS_0x1_B365,api_diaria_cruzada_betfair,8.63,437.5,1.0,1x0,alias_exact,False,True,2026-03,8.63,1.0,0.0,37517.14691730434,2,8.63,1.0,8.63,,2026-03-01,SKIPPED,liquidity_missing,0.0,500.0,500.0,0.0,0.3,Fase_1_30pct,1,treino,Atual_Filtrada
